time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.pressure,field.variance
1680791217873047790,800373,1680791217873047790,,1680791217873047790,56.06793212890625,0.0
1680791217878530437,800374,1680791217878530437,,1680791217878530437,56.06317901611328,0.0
1680791217883187092,800375,1680791217883187092,,1680791217883187092,56.06446075439453,0.0
1680791217888720571,800376,1680791217888720571,,1680791217888720571,56.065704345703125,0.0
1680791217893330867,800377,1680791217893330867,,1680791217893330867,56.068702697753906,0.0
1680791217897992347,800378,1680791217897992347,,1680791217897992347,56.06956481933594,0.0
1680791217903541408,800379,1680791217903541408,,1680791217903541408,56.06855010986328,0.0
1680791217908220289,800380,1680791217908220289,,1680791217908220289,56.06896209716797,0.0
1680791217913062356,800381,1680791217913062356,,1680791217913062356,56.06883239746094,0.0
1680791217918523874,800382,1680791217918523874,,1680791217918523874,56.07356262207031,0.0
1680791217923181621,800383,1680791217923181621,,1680791217923181621,56.07691192626953,0.0
1680791217928054906,800384,1680791217928054906,,1680791217928054906,56.07777404785156,0.0
1680791217933503273,800385,1680791217933503273,,1680791217933503273,56.078269958496094,0.0
1680791217938245534,800386,1680791217938245534,,1680791217938245534,56.078041076660156,0.0
1680791217943063126,800387,1680791217943063126,,1680791217943063126,56.08019256591797,0.0
1680791217948569294,800388,1680791217948569294,,1680791217948569294,56.081626892089844,0.0
1680791217953261789,800389,1680791217953261789,,1680791217953261789,56.08247375488281,0.0
1680791217958009379,800390,1680791217958009379,,1680791217958009379,56.08418273925781,0.0
1680791217963548712,800391,1680791217963548712,,1680791217963548712,56.084861755371094,0.0
1680791217968286845,800392,1680791217968286845,,1680791217968286845,56.08372497558594,0.0
1680791217973000998,800393,1680791217973000998,,1680791217973000998,56.08428955078125,0.0
1680791217978544925,800394,1680791217978544925,,1680791217978544925,56.084197998046875,0.0
1680791217983220450,800395,1680791217983220450,,1680791217983220450,56.078834533691406,0.0
1680791217988044567,800396,1680791217988044567,,1680791217988044567,56.079200744628906,0.0
1680791217993503956,800397,1680791217993503956,,1680791217993503956,56.081748962402344,0.0
1680791217998284470,800398,1680791217998284470,,1680791217998284470,56.080970764160156,0.0
