time,field.header.seq,field.header.stamp,field.header.frame_id,field.motor_refs0.id,field.motor_refs0.type,field.motor_refs0.ref,field.motor_refs1.id,field.motor_refs1.type,field.motor_refs1.ref,field.motor_refs2.id,field.motor_refs2.type,field.motor_refs2.ref,field.motor_refs3.id,field.motor_refs3.type,field.motor_refs3.ref,field.motor_refs4.id,field.motor_refs4.type,field.motor_refs4.ref,field.motor_refs5.id,field.motor_refs5.type,field.motor_refs5.ref,field.motor_refs6.id,field.motor_refs6.type,field.motor_refs6.ref,field.motor_refs7.id,field.motor_refs7.type,field.motor_refs7.ref,field.motor_refs8.id,field.motor_refs8.type,field.motor_refs8.ref,field.motor_refs9.id,field.motor_refs9.type,field.motor_refs9.ref,field.motor_refs10.id,field.motor_refs10.type,field.motor_refs10.ref,field.motor_refs11.id,field.motor_refs11.type,field.motor_refs11.ref
1680791249864669988,973329,1680791249864669988,,12,0,-0.6819078046796336,11,0,-0.4042743085264358,10,0,0.6646469720085915,9,0,0.38701347585539364,4,0,-0.34119044013582606,8,0,-0.20495810652094082,2,0,-0.3279619021903486,6,0,-0.16653548300762505,3,0,0.3306585861628698,7,0,0.16923216698014626,1,0,0.33849375616330485,5,0,0.2022614225484196
1680791249874671487,973330,1680791249874671487,,12,0,-0.681936477085571,11,0,-0.40389293652044905,10,0,0.6649875392879551,9,0,0.38694399872283297,4,0,-0.3416627994171517,8,0,-0.2058626371296907,2,0,-0.32597829759228847,6,0,-0.16387628052522887,3,0,0.3290956547486892,7,0,0.1669936376816296,1,0,0.338545442260751,5,0,0.20274527997328998
1680791249884670761,973331,1680791249884670761,,12,0,-0.6794740163841616,11,0,-0.40284038275639106,10,0,0.6616453365974676,9,0,0.38501170296969695,4,0,-0.33861832039495426,8,0,-0.20379273919812652,2,0,-0.3233441724250023,6,0,-0.16165396839414164,3,0,0.32654147904884684,7,0,0.16485127501798613,1,0,0.33542101377110983,5,0,0.20059543257428203
1680791249894666175,973332,1680791249894666175,,12,0,-0.6745597894988591,11,0,-0.4011608842720414,10,0,0.6546636547023381,9,0,0.3812647494755203,4,0,-0.3321254891678271,8,0,-0.19884006586810196,2,0,-0.3200169723250948,6,0,-0.15979517173739402,3,0,0.32298191059598363,7,0,0.16276011000828286,1,0,0.32916055089693824,5,0,0.19587512759721312
1680791249904669788,973333,1680791249904669788,,12,0,-0.6725781139814363,11,0,-0.40044518100739557,10,0,0.6518054878788001,9,0,0.3796725549047595,4,0,-0.3294927988585117,8,0,-0.1968586525689679,2,0,-0.318569936574369,6,0,-0.15889662528885196,3,0,0.3214897229753704,7,0,0.16181641168985333,1,0,0.3265730124575103,5,0,0.19393886616796652
1680791249914668962,973334,1680791249914668962,,12,0,-0.6735032123296718,11,0,-0.4007239992424074,10,0,0.6530490600556162,9,0,0.38026984696835187,4,0,-0.33069296674399823,8,0,-0.19784647742427203,2,0,-0.31895395580848923,6,0,-0.15891709973182622,3,0,0.3220070098217218,7,0,0.1619701537450588,1,0,0.32763991273076565,5,0,0.19479342341103945
1680791249924669659,973335,1680791249924669659,,12,0,-0.6738722108501569,11,0,-0.40087726177115124,10,0,0.6535524326632738,9,0,0.3805574835842681,4,0,-0.3308677971315734,8,0,-0.19778714636683348,2,0,-0.3192035021809387,6,0,-0.1591905865206248,3,0,0.3223520669483752,7,0,0.1623391512880613,1,0,0.32771923236413686,5,0,0.19463858159939695
1680791249934671587,973336,1680791249934671587,,12,0,-0.6751636679686233,11,0,-0.4051376451362594,10,0,0.654383486598527,9,0,0.3843574637661631,4,0,-0.33204723501283906,8,0,-0.20020096989110453,2,0,-0.31694986151185794,6,0,-0.15688408998783215,3,0,0.32237454823978384,7,0,0.16230877671575805,1,0,0.32662254828491316,5,0,0.19477628316317863
1680791249944669727,973337,1680791249944669727,,12,0,-0.6780183315382506,11,0,-0.41370342551448364,10,0,0.6564048466841597,9,0,0.39208994066039254,4,0,-0.3357774333801723,8,0,-0.20694775705707794,2,0,-0.311925236138966,6,0,-0.15101962440988578,3,0,0.32183698218754986,7,0,0.16093137045846964,1,0,0.32586568733158844,5,0,0.19703601100849408
1680791249954669405,973338,1680791249954669405,,12,0,-0.6792575732803657,11,0,-0.4173043175426903,10,0,0.657321894109009,9,0,0.3953686383713337,4,0,-0.33761793551378927,8,0,-0.21024165467871136,2,0,-0.3094741452007166,6,0,-0.14799830720602525,3,0,0.32126906820747825,7,0,0.1597932302127869,1,0,0.3258230125070276,5,0,0.1984467316719497
1680791249964670276,973339,1680791249964670276,,12,0,-0.6787863068409569,11,0,-0.4158826232431604,10,0,0.6569919507271852,9,0,0.3940882671293886,4,0,-0.33701734902704117,8,0,-0.20924902289816139,2,0,-0.309979288720048,6,0,-0.14853200668014055,3,0,0.32105989098710497,7,0,0.1596126089471976,1,0,0.3259367467599841,5,0,0.19816842063110435
1680791249974670817,973340,1680791249974670817,,12,0,-0.6774383093931269,11,0,-0.4137528297928263,10,0,0.6554412068252127,9,0,0.3917557272249122,4,0,-0.33644138306467947,8,0,-0.20801037038068285,2,0,-0.3124524498963232,6,0,-0.15164018021498119,3,0,0.32262940752655583,7,0,0.16181713784521382,1,0,0.32626442543444684,5,0,0.19783341275045022
1680791249984668568,973341,1680791249984668568,,12,0,-0.6751920238767303,11,0,-0.4109426352093292,10,0,0.6526621464158088,9,0,0.38841275774840783,4,0,-0.3359918437514077,8,0,-0.2067222903783164,2,0,-0.3167431274884593,6,0,-0.1571049290375653,3,0,0.3258278720130621,7,0,0.16618967356216813,1,0,0.3269070992268049,5,0,0.19763754585371357
1680791249994647900,973342,1680791249994647900,,12,0,-0.674227353025277,11,0,-0.4098350683001803,10,0,0.6514785995594737,9,0,0.3870863148343769,4,0,-0.3354755006379875,8,0,-0.20572051037545624,2,0,-0.3186217265623232,6,0,-0.15965996288494055,3,0,0.3272872865938379,7,0,0.16832552291645525,1,0,0.3268099406064728,5,0,0.19705495034394155
1680791250004666880,973343,1680791250004666880,,12,0,-0.6745414072484193,11,0,-0.4104221125640977,10,0,0.6518874089351776,9,0,0.38776811425085594,4,0,-0.3348841697533595,8,0,-0.20498212545316724,2,0,-0.3181210134612919,6,0,-0.1593510172339257,3,0,0.3270392886476419,7,0,0.16826929242027572,1,0,0.3259658945670095,5,0,0.19606385026681722
1680791250014690885,973344,1680791250014690885,,12,0,-0.6722545722473522,11,0,-0.4108986741203193,10,0,0.6496300803494398,9,0,0.3882741822224068,4,0,-0.33266065105820797,8,0,-0.20313785232732148,2,0,-0.3202837653771532,6,0,-0.16302407955818612,3,0,0.3263829866475625,7,0,0.16912330082859547,1,0,0.3265614297877987,5,0,0.19703863105691213
1680791250024702327,973345,1680791250024702327,,12,0,-0.6673241693236364,11,0,-0.41116197397260196,10,0,0.6446565563301335,9,0,0.3884943609790991,4,0,-0.32883888012864565,8,0,-0.20022664424871928,2,0,-0.32513181012377884,6,0,-0.17067807143440444,3,0,0.3253233884537276,7,0,0.1708696497643532,1,0,0.3286473017986969,5,0,0.20003506591877052
1680791250034666939,973346,1680791250034666939,,12,0,-0.6652256585807784,11,0,-0.4113422163859323,10,0,0.6425387900255134,9,0,0.3886553478306672,4,0,-0.32721587537513225,8,0,-0.19903798440443587,2,0,-0.32704166822056163,6,0,-0.1737685751422503,3,0,0.32479132199577104,7,0,0.17151822891745971,1,0,0.32946622159992284,5,0,0.20128833062922646
1680791250044671289,973347,1680791250044671289,,12,0,-0.6659588211521911,11,0,-0.41146253278854966,10,0,0.643286754259837,9,0,0.3887904658961954,4,0,-0.327778219340432,8,0,-0.19960316262309302,2,0,-0.32585147963408245,6,0,-0.17209915662586828,3,0,0.3246455166996343,7,0,0.17089319369142014,1,0,0.32898418227488013,5,0,0.20080912555754116
1680791250054668835,973348,1680791250054668835,,12,0,-0.66620772283986,11,0,-0.41161702681387996,10,0,0.643542381758939,9,0,0.38895168573295885,4,0,-0.32793641328352596,8,0,-0.19986642479108105,2,0,-0.3250932701017304,6,0,-0.17112901150561724,3,0,0.3243424499508688,7,0,0.17037819135475565,1,0,0.32868723343438755,5,0,0.20061724494194264
1680791250064669615,973349,1680791250064669615,,12,0,-0.6641898528945789,11,0,-0.4092862248951599,10,0,0.6420641008293848,9,0,0.38716047282996574,4,0,-0.3305773737826213,8,0,-0.2047222174987366,2,0,-0.319737410297356,6,0,-0.16383021530524777,3,0,0.32027088557958,7,0,0.1643636905874718,1,0,0.3300438985003973,5,0,0.20418874221651256
1680791250074668756,973350,1680791250074668756,,12,0,-0.6603921329865542,11,0,-0.40434864889127803,10,0,0.6393557650527052,9,0,0.3833122809574289,4,0,-0.3361633677190206,8,0,-0.2145690001724716,2,0,-0.3091243961207272,6,0,-0.14919223286892352,3,0,0.3124592496244468,7,0,0.15252708637264317,1,0,0.33282851421530096,5,0,0.21123414666875195
1680791250084692528,973351,1680791250084692528,,12,0,-0.6588057451095989,11,0,-0.4024084283547075,10,0,0.6382261213241206,9,0,0.38182880456922935,4,0,-0.33844068547484923,8,0,-0.21871045028833616,2,0,-0.3044139697846738,6,0,-0.1427752448042746,3,0,0.3089816183019483,7,0,0.14734289332154918,1,0,0.3338730369575746,5,0,0.21414280177106157
1680791250094626012,973352,1680791250094626012,,12,0,-0.6593269132461783,11,0,-0.4034612336399304,10,0,0.6385670952400806,9,0,0.3827014156338326,4,0,-0.3370125134113899,8,0,-0.2165400226466558,2,0,-0.30602794270485906,6,0,-0.145284647123773,3,0,0.31014992816997816,7,0,0.14940663258889217,1,0,0.33289052794627066,5,0,0.21241803718153665
1680791250104667635,973353,1680791250104667635,,12,0,-0.6569877096600625,11,0,-0.40094255751379154,10,0,0.635972378097686,9,0,0.379927225951415,4,0,-0.3373753060882402,8,0,-0.21788399015565985,2,0,-0.30319385888820644,6,0,-0.14198013046382646,3,0,0.30882090242966553,7,0,0.14760717400528556,1,0,0.3317482625467811,5,0,0.21225694661420075
